nameGiven,debut,finalGame,BOD,firstgame_age,lastgame_age,carrer_length
"John Joseph",1897-06-23,1912-09-24,1874-7-9,22,38,15
"David Earl",1972-09-22,1987-10-04,1945-5-3,27,42,15
"John Joseph",1891-08-26,1906-09-12,1873-4-7,18,33,15
"Frank Bernard",1922-04-12,1937-05-13,1901-11-8,20,35,15
"Octavio Victor",1962-04-10,1977-10-01,1939-3-6,23,38,15
"William George",1925-04-14,1940-08-25,1904-11-24,20,35,15
"John Wesley",1961-09-26,1977-08-24,1941-8-17,20,36,15
"Jesse Clyde",1907-08-19,1922-09-22,1887-3-25,20,35,15
"Henry Harrison",1909-08-30,1925-05-07,1889-4-27,20,36,15
"Edmund John",1921-04-16,1936-09-05,1894-8-30,26,42,15
"William Edward",1942-09-09,1957-09-15,1920-12-15,21,36,15
"Charles Fred",1923-04-19,1938-10-01,1902-4-28,20,36,15
"Charles Solomon",1925-09-26,1941-09-24,1904-3-16,21,37,15
"John Joseph",1999-07-04,2014-09-28,1974-9-24,24,40,15
"Michael Kelvin",1975-04-10,1990-07-04,1955-3-19,20,35,15
"Philip Francis",1941-04-14,1956-08-16,1917-9-25,23,38,15
"Albert Walter",1967-07-04,1982-09-27,1944-7-22,22,38,15
"Michael Joseph",1992-09-01,2007-09-30,1968-9-4,23,39,15
"John Joseph",1932-05-19,1947-09-16,1908-7-14,23,39,15
"Stuart Leonard",1952-08-12,1968-04-23,1927-12-26,24,40,15
"Trever Douglas",1996-09-04,2011-09-24,1973-5-29,23,38,15
"Stephen George",1950-09-04,1966-05-10,1929-4-29,21,37,15
"Kevin Austin",1997-07-14,2012-09-12,1974-12-24,22,37,15
Pedro,1955-04-11,1970-04-25,1935-4-28,19,34,15
Constantino,1990-08-20,2005-10-02,1967-12-7,22,37,15
"Richard Alan",1974-07-05,1989-09-29,1953-5-16,21,36,15
"Nathaniel Frederick",1882-05-01,1897-06-14,1860-3-17,22,37,15
"Gregory Brian",1975-09-07,1990-09-29,1951-7-29,24,39,15
Leslie,1913-04-30,1928-09-30,1892-11-18,20,35,15
"Frank Spruiell",1917-06-26,1932-09-25,1895-11-25,21,36,15
"David Joseph",1986-09-07,2001-09-26,1962-9-30,23,38,15
"Sherwood Robert",1904-06-29,1919-09-27,1884-8-6,19,35,15
"Ronald James",1942-04-14,1957-09-28,1920-4-26,21,37,15
"Edgar Enrique",1996-05-10,2011-09-28,1976-8-7,19,35,15
"Steven Rance",1977-06-18,1992-09-18,1956-1-15,21,36,15
"Michael John",1991-06-15,2006-06-22,1966-3-23,25,40,15
"Ronald Matthew",1995-05-21,2010-08-21,1971-6-28,23,39,15
"Howard Joseph",1941-08-20,1956-09-23,1921-6-26,20,35,15
"Gary Nathaniel",1972-09-06,1987-10-02,1950-7-5,22,37,15
"George Anthony",1911-08-17,1927-07-02,1889-2-18,22,38,15
David,1986-06-15,2001-10-07,1964-9-26,21,37,15
"Kenneth David",1939-04-25,1954-06-02,1917-8-8,21,36,15
"Jose Benjamin",1999-09-06,2014-09-28,1975-6-3,24,39,15
"Richard Allen",1988-08-08,2003-09-26,1964-8-16,23,39,15
"Walter Clement",1913-06-29,1928-09-30,1893-2-17,20,35,15
"Placido Enrique",1998-07-03,2013-09-28,1975-10-10,22,37,15
"Donald Wayne",1968-04-10,1983-09-17,1947-6-7,20,36,15
"Joseph Michael",1999-04-21,2014-09-28,1974-11-22,24,39,15
Jorge,1972-04-15,1987-06-10,1950-11-26,21,36,15
Steven,1985-06-14,2000-10-01,1961-3-5,24,39,15
"Edward Joseph",1912-08-07,1927-09-14,1893-2-17,19,34,15
"Roy David",1951-04-17,1966-08-03,1929-7-17,21,37,15
Harold,1939-09-29,1955-05-03,1921-5-20,18,33,15
"Benjamin Ambrosio",1971-09-04,1986-10-05,1949-2-11,22,37,15
"Jose Antonio",1990-08-19,2005-10-02,1968-11-8,21,36,15
"Francis Joseph",1919-04-29,1934-09-30,1897-3-4,22,37,15
"Joseph Michael",1932-09-02,1948-07-25,1911-11-24,20,36,15
"Charles Hugh",1985-06-02,2000-06-21,1960-5-1,25,40,15
"Kenneth Ray",1977-08-22,1992-10-04,1956-5-4,21,36,15
"Joseph Oden",1967-04-11,1982-10-03,1946-9-7,20,36,15
"Jeron Kennis",1973-08-14,1988-09-28,1952-10-18,20,35,15
"Robert Andrew",1986-04-10,2001-10-07,1964-5-11,21,37,15
"Edward John",1986-09-17,2002-04-10,1961-9-28,24,40,15
"Juan Milton",1983-08-24,1998-09-26,1960-12-9,22,37,15
"Garry Lewis",1976-08-09,1991-10-05,1956-3-24,20,35,15
"Reginald Laverne",1991-08-22,2007-07-29,1967-12-1,23,39,15
"Kenton Charles",1974-05-20,1989-07-16,1947-3-5,27,42,15
Joseph,1871-05-18,1886-07-09,1842-10-14,28,43,15
"Miguel Odalis",1997-08-27,2013-08-10,1974-5-25,23,39,15
Claudell,1974-07-05,1990-06-18,1954-8-31,19,35,15
Lonnie,1930-04-18,1945-09-29,1909-3-28,21,36,15
"Carl Ernest",1948-09-29,1963-09-29,1927-11-4,20,35,15
Julian,1993-08-07,2009-07-19,1973-5-22,20,36,15
"George Harold",1915-06-28,1930-09-22,1893-3-24,22,37,15
"James Michael",1971-04-14,1986-09-28,1950-6-19,20,36,15
"Randy Lee",1987-08-20,2002-09-29,1962-11-24,24,39,15
"George Robert",1936-09-16,1952-09-14,1912-11-10,23,39,15
"John Albert",1941-09-06,1956-09-07,1920-11-27,20,35,15
Bernabe,1991-07-07,2006-10-01,1968-9-13,22,38,15
"William Harold",1913-08-04,1929-07-09,1893-3-9,20,36,15
"Robin Mark",1989-09-12,2004-10-02,1967-7-14,22,37,15
"William Frederick",1886-04-29,1901-10-06,1865-7-11,20,36,15
"James Wren",1920-06-15,1935-09-24,1898-7-27,21,37,15
"Frank Elton",1912-08-25,1927-09-29,1894-5-27,18,33,15
"Milton Edward",1970-09-05,1986-06-12,1950-4-20,20,36,15
"William Edward",1995-09-13,2010-10-03,1971-7-25,24,39,15
"Harold Henry",1931-04-15,1946-09-25,1910-11-23,20,35,15
"Robert Joe",1992-08-24,2007-09-30,1969-2-6,23,38,15
"Todd Edward",1989-08-18,2004-10-03,1965-9-9,23,39,15
"Diego Pablo",1962-04-12,1977-09-24,1937-8-17,24,40,15
"John Whitlow",1929-09-16,1945-07-18,1907-9-27,21,37,15
"Randall Christopher",1999-06-11,2014-06-14,1976-8-22,22,37,15
"Henry Levai",1911-05-15,1926-09-25,1891-6-1,19,35,15
"Samuel Filmore",1927-04-17,1942-09-24,1904-10-5,22,37,15
Lonnie,1978-09-02,1994-08-10,1955-12-22,22,38,15
"Michael John",1995-09-04,2010-10-03,1973-7-22,22,37,15
"Robert Clayton",1949-05-01,1964-09-29,1925-9-26,23,39,15
"George Cyril Methodius",1929-04-23,1944-10-01,1907-8-13,21,37,15
"James Howard",1974-04-04,1989-09-24,1951-5-18,22,38,15
Salomon,1993-08-29,2008-09-27,1972-3-11,21,36,15
"Amos Aaron",1908-09-24,1924-06-28,1889-1-22,19,35,15
"Jesus Manuel Marcano",1973-06-28,1989-05-20,1950-12-25,22,38,15
"Todd Vernon",1988-04-06,2002-06-26,1965-5-20,22,37,14
"Fury Gene",1969-05-29,1983-09-30,1946-10-10,22,36,14
"Timothy James",1992-08-21,2006-10-01,1968-8-24,23,38,14
"George Elvin",1923-04-29,1937-10-02,1896-7-27,26,41,14
"J Christopher",1959-04-19,1973-09-18,1937-9-19,21,35,14
"Walter Cleveland",1921-04-20,1935-09-29,1900-9-23,20,35,14
"Cyril Roy",1936-06-27,1950-10-01,1915-2-25,21,35,14
"Delbert Bernard",1968-04-10,1982-06-06,1944-12-9,23,37,14
"Ronald Edward",1960-06-26,1974-09-29,1940-2-25,20,34,14
"Robert Michael",1986-06-24,2000-09-29,1963-6-25,22,37,14
"Mitchell Jack",1964-09-13,1978-09-28,1942-7-20,22,36,14
"Jose Antonio",1992-09-17,2007-07-20,1969-10-12,22,37,14
"Kenneth Wayne",1970-06-24,1984-09-25,1947-6-10,23,37,14
"Gerald Lee",1947-04-20,1961-09-25,1920-8-21,26,41,14
"Sebastian Daniel",1939-07-21,1954-06-06,1920-7-26,18,33,14
"John Samuel",1937-04-22,1951-05-07,1914-11-2,22,36,14
"Gregory Scott",1993-05-14,2007-09-22,1966-8-19,26,41,14
"Stanley Wilson",1958-05-17,1972-08-01,1936-9-14,21,35,14
"Jason Andrew",1997-09-24,2011-09-25,1972-4-11,25,39,14
"Edward Stephen",1941-04-15,1955-09-20,1919-9-4,21,36,14
"Kenneth Roy",1915-07-14,1929-08-10,1890-6-28,25,39,14
"Donald Martin",1982-07-06,1997-05-19,1958-9-11,23,38,14
"Jason David",1995-04-28,2009-08-05,1973-1-29,22,36,14
"Robert Eldridge",1923-04-19,1937-08-06,1895-4-22,27,42,14
"Alfonso Guilleard",1999-09-14,2014-07-05,1976-1-7,23,38,14
Rudolph,1912-09-08,1927-07-13,1886-10-30,25,40,14
"Derrel Osborn",1971-09-14,1985-10-05,1951-1-14,20,34,14
"Ronald Thomas",1995-04-28,2009-10-04,1970-1-16,25,39,14
"Harvey Willos",1931-04-15,1945-09-30,1906-8-17,24,39,14
"Harry William",1940-09-25,1955-08-19,1916-10-22,23,38,14
"Elmer Ellsworth",1886-09-10,1901-06-15,1868-3-23,18,33,14
"Gerald Holmes",1931-04-14,1945-09-30,1908-3-19,23,37,14
"Ryan Andrew",2000-09-02,2014-09-26,1977-7-22,23,37,14
"George J.",1884-04-17,1898-10-09,1859-4-20,24,39,14
"Leo Ernest",1976-09-12,1991-07-03,1952-6-13,24,39,14
"Eddie Lee",1977-09-04,1991-09-29,1955-5-19,22,36,14
"Gregory Owen",1995-06-24,2010-05-20,1971-4-14,24,39,14
"Eric Orlando",1992-07-30,2006-09-19,1967-5-18,25,39,14
"Thomas Jefferson",1871-05-09,1885-10-01,1850-7-13,20,35,14
"Rondell Bernard",1993-09-01,2007-09-30,1972-2-23,21,35,14
"Rudolph Preston",1934-08-22,1948-09-20,1913-8-17,21,35,14
"Stephen Wayne",1972-08-02,1986-08-29,1948-11-24,23,37,14
"Roy Hilton",1965-09-07,1979-09-27,1943-12-27,21,35,14
"James Sherman",1963-07-10,1977-09-27,1942-3-12,21,35,14
"David Vincent",1990-05-08,2004-09-08,1966-7-19,23,38,14
"Aaron Helmer",1993-06-23,2007-09-25,1970-6-25,22,37,14
"Kerry Lee",1998-04-12,2012-05-18,1977-6-16,20,34,14
Joe,1908-08-24,1922-09-24,1889-10-25,18,32,14
"Andrew Wasal",1943-09-14,1957-09-21,1920-9-12,23,37,14
"Harry Sterling",1898-09-25,1912-09-25,1873-12-6,24,38,14
"James Eugene",1972-09-01,1986-10-05,1951-2-28,21,35,14
"Richard William",1979-05-22,1993-10-03,1958-6-20,20,35,14
August,1887-05-02,1901-08-21,1866-9-29,20,34,14
Andre,1973-07-28,1987-08-31,1949-8-13,23,38,14
"Austin Ben",1914-05-22,1928-09-15,1893-4-14,21,35,14
"Joseph Bert",1902-04-17,1916-09-22,1880-7-27,21,36,14
"James Robert",1913-07-16,1927-09-29,1890-12-4,22,36,14
Robert,1965-09-03,1979-09-19,1945-11-19,19,33,14
"Clifford Earl",1947-04-15,1961-08-23,1924-1-1,23,37,14
"Vernon M.",1999-08-30,2013-09-29,1978-12-8,20,34,14
Peter,1941-04-15,1955-05-30,1916-4-16,24,39,14
"Stephen Christopher",1993-09-19,2008-06-07,1970-10-31,22,37,14
"William Henry",1918-04-22,1932-06-11,1896-8-15,21,35,14
"Cecil Howell",1933-05-16,1947-09-23,1913-8-8,19,34,14
"Thomas Joseph",1924-09-04,1938-10-02,1903-9-6,20,35,14
"Frank Joseph",1951-08-17,1966-05-30,1929-6-11,22,36,14
"Don James",1953-04-18,1967-07-07,1929-8-7,23,37,14
"Bruce Eugene",1971-07-04,1985-10-05,1950-2-18,21,35,14
"Kenneth Dale",1965-09-04,1979-09-19,1945-11-3,19,33,14
"Jason Michael",2000-05-11,2014-09-27,1976-11-11,23,37,14
Rafael,2000-04-04,2014-06-21,1977-10-24,22,36,14
"Carl Anthony",1946-04-16,1960-05-07,1922-3-8,24,38,14
"Carney Ray",1978-04-08,1992-10-04,1957-2-7,21,35,14
"Sylveanus Augustus",1911-04-12,1925-08-25,1885-4-13,25,40,14
"Clarence James",1920-10-01,1935-05-15,1897-11-23,22,37,14
"Raymond Lewis",1990-08-21,2004-10-03,1967-6-5,23,37,14
"Brian O'Neal",1992-04-08,2006-09-30,1967-3-29,25,39,14
"Shawn David",1993-09-28,2007-09-29,1972-11-10,20,34,14
"Gregory Carpenter",1983-06-05,1997-09-27,1961-11-12,21,35,14
"Joseph Elliott",1989-04-04,2003-09-28,1964-10-14,24,38,14
Ruben,1953-04-17,1967-05-02,1927-7-13,25,39,14
"Larry Darnell",1974-09-04,1988-10-02,1953-11-3,20,34,14
"Elon Chester",1929-09-18,1944-06-03,1903-11-2,25,40,14
"John Gladstone",1908-04-30,1922-06-28,1886-6-10,21,36,14
"Anthony Charles",1921-09-23,1935-09-23,1900-12-16,20,34,14
"Thomas Michael",1988-09-10,2002-09-28,1964-3-4,24,38,14
"Dennis Patrick",1977-08-21,1992-06-06,1952-9-23,24,39,14
"William Frederick",1952-04-18,1966-09-25,1932-5-17,19,34,14
"Harry Leroy",1925-04-16,1939-07-23,1906-2-13,19,33,14
"Carroll Walter",1945-07-05,1960-06-24,1926-7-25,18,33,14
Sidney,1941-09-11,1955-09-20,1917-8-13,24,38,14
"Harold Patrick",1967-09-06,1981-10-04,1944-7-30,23,37,14
"John Bernard",1903-09-21,1917-10-03,1881-10-18,21,35,14
"Eddie Gene",1959-06-22,1973-09-19,1936-7-16,22,37,14
"Jason Daniel",1996-04-01,2010-08-30,1974-6-26,21,36,14
"Freddy Antonio",1999-04-07,2013-09-24,1976-10-6,22,36,14
"Burt Carlton",1971-06-17,1985-09-06,1950-2-7,21,35,14
"Harvey Edward",1952-09-06,1966-10-02,1930-12-4,21,35,14
"Kenneth Alphonse",1937-10-03,1952-08-13,1915-10-14,21,36,14
"Jack Robert",1985-05-20,1999-07-17,1961-8-18,23,37,14
"Theodore Roosevelt",1999-05-14,2013-06-04,1976-1-4,23,37,14
"William Ellsworth",1888-04-20,1902-07-17,1862-5-23,25,40,14
"Scott Brian",1981-04-25,1995-09-29,1958-7-30,22,37,14
"Frank Sylvester",1875-05-04,1889-07-18,1855-8-3,19,33,14
"Jonathan Ray",1994-05-15,2008-09-05,1970-4-2,24,38,14
"Curtis Charles",1956-09-09,1971-04-25,1938-1-18,18,33,14
"Clifton Earl",1918-06-04,1932-09-24,1898-1-24,20,34,14
"Carmen Proctor",1915-08-24,1930-05-04,1895-10-1,19,34,14
